GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rc-remotecar/rc-common,org.rcdukes.error,ErrorHandler,78,0,4,0,16,0,7,0,5,0
rc-remotecar/rc-common,org.rcdukes.common,ClusterStarter,219,0,18,0,62,0,24,0,15,0
rc-remotecar/rc-common,org.rcdukes.common,ServoPosition,115,0,0,0,32,0,10,0,10,0
rc-remotecar/rc-common,org.rcdukes.common,ServoCalibration,44,0,0,0,17,0,11,0,11,0
rc-remotecar/rc-common,org.rcdukes.common,Configuration,278,0,16,0,70,0,25,0,17,0
rc-remotecar/rc-common,org.rcdukes.common,DukesVerticle,355,0,18,0,93,0,33,0,24,0
rc-remotecar/rc-common,org.rcdukes.common,Events,214,0,0,0,13,0,1,0,1,0
rc-remotecar/rc-common,org.rcdukes.common,DukesVerticle.Status,34,0,0,0,2,0,1,0,1,0
rc-remotecar/rc-common,org.rcdukes.common,Characters,256,0,0,0,28,0,8,0,8,0
rc-remotecar/rc-common,org.rcdukes.common,Environment,311,0,24,0,83,0,31,0,19,0
rc-remotecar/rc-common,org.rcdukes.common,ErrorHandler,20,0,0,0,6,0,2,0,2,0
rc-remotecar/rc-common,org.rcdukes.common,Config,88,0,0,0,24,0,7,0,7,0
rc-remotecar/rc-common,org.rcdukes.common,WebStarter,94,0,0,0,24,0,6,0,6,0
rc-remotecar/rc-common,org.rcdukes.common,POJO,7,0,0,0,2,0,2,0,2,0
rc-remotecar/rc-common,org.rcdukes.common,TinkerPopDatabase,157,0,10,0,34,0,13,0,8,0
rc-remotecar/rc-watchdog,org.rcdukes.watchdog,WatchDog,191,0,10,0,40,0,13,0,8,0
rc-remotecar/rc-car,org.rcdukes.car,SteeringHandler,150,0,8,0,30,0,9,0,5,0
rc-remotecar/rc-car,org.rcdukes.car,CarVerticle,144,0,9,0,39,0,12,0,5,0
rc-remotecar/rc-car,org.rcdukes.car,SpeedHandler,189,0,10,0,49,0,12,0,7,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,StartLight,53,0,0,0,10,0,6,0,6,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,StoppingZone,15,0,0,0,6,0,3,0,3,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,ViewPort,21,0,0,0,8,0,4,0,4,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,Boundary,17,0,0,0,5,0,3,0,3,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,StartLight.new StartLight() {...},10,0,0,0,3,0,3,0,3,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,StartLight.new StartLight() {...},20,0,2,0,5,0,3,0,2,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects,StartLight.new StartLight() {...},8,0,0,0,2,0,2,0,2,0
rc-remotecar/rc-detect,nl.vaneijndhoven.opencv.startlightdetection,DefaultStartLightDetector,308,0,6,0,52,0,13,0,10,0
rc-remotecar/rc-detect,nl.vaneijndhoven.opencv.startlightdetection,DefaultStartLightDetector.Config,45,0,0,0,19,0,13,0,13,0
rc-remotecar/rc-detect,nl.vaneijndhoven.opencv.stopzonedetection,DefaultStoppingZoneDetector,23,0,0,0,5,0,2,0,2,0
rc-remotecar/rc-detect,org.rcdukes.detect,StartLightDetectorImpl,303,0,6,0,52,0,13,0,10,0
rc-remotecar/rc-detect,org.rcdukes.detect,Detector,371,0,18,0,91,0,32,0,23,0
rc-remotecar/rc-detect,org.rcdukes.detect,CameraConfig,76,0,0,0,30,0,14,0,14,0
rc-remotecar/rc-detect,org.rcdukes.detect,ImageFetcher,366,0,34,0,85,0,33,0,16,0
rc-remotecar/rc-detect,org.rcdukes.detect,ImageFetcher.new ObservableOnSubscribe() {...},81,0,10,0,13,0,7,0,2,0
rc-remotecar/rc-detect,org.rcdukes.detect,StartLightDetectorImpl.Config,63,0,0,0,25,0,13,0,13,0
rc-remotecar/rc-detect,org.rcdukes.detect,LaneDetector,93,0,0,0,31,0,13,0,13,0
rc-remotecar/rc-detect,org.rcdukes.detect,ImageObserver,101,0,10,0,24,0,11,0,6,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects.lane,LaneRightBoundary,55,0,0,0,11,0,6,0,6,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects.lane,LaneLeftBoundary,55,0,0,0,11,0,6,0,6,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects.lane,BoundaryDefaults,8,0,0,0,3,0,2,0,2,0
rc-remotecar/rc-detect,org.rcdukes.video,PointMapper,11,0,0,0,2,0,2,0,2,0
rc-remotecar/rc-detect,org.rcdukes.video,VideoRecorders,177,0,18,0,39,0,16,0,7,0
rc-remotecar/rc-detect,org.rcdukes.video,ImageUtils.CVColor,53,0,0,0,8,0,2,0,2,0
rc-remotecar/rc-detect,org.rcdukes.video,ImageCollector,317,0,26,0,66,0,26,0,13,0
rc-remotecar/rc-detect,org.rcdukes.video,ImageCollector.ImageType,84,0,0,0,2,0,1,0,1,0
rc-remotecar/rc-detect,org.rcdukes.video,Image,180,0,4,0,49,0,20,0,18,0
rc-remotecar/rc-detect,org.rcdukes.video,ImageUtils,369,0,14,0,93,0,25,0,18,0
rc-remotecar/rc-detect,org.rcdukes.video,VideoRecorder,168,0,6,0,31,0,12,0,9,0
rc-remotecar/rc-detect,org.rcdukes.video,DenoiseByBlur,32,0,0,0,9,0,3,0,3,0
rc-remotecar/rc-detect,org.rcdukes.video,VideoRecorders.VideoInfo,116,0,10,0,27,0,11,0,6,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects.stoppingzone,ZoneStartBoundary,39,0,0,0,8,0,4,0,4,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects.stoppingzone,StoppingZoneOrientation,194,0,12,0,23,0,13,0,7,0
rc-remotecar/rc-detect,nl.vaneijndhoven.objects.stoppingzone,ZoneEndBoundary,15,0,0,0,4,0,2,0,2,0
rc-remotecar/rc-detect,org.rcdukes.detect.lanedetection,ImageLaneDetection,380,0,16,0,69,0,16,0,8,0
rc-remotecar/rc-detect,org.rcdukes.detect.lanedetection,LaneOrientation,411,0,12,0,81,0,33,0,27,0
rc-remotecar/rc-detect,org.rcdukes.detect.lanedetection,DefaultLaneDetector,139,0,0,0,12,0,5,0,5,0
rc-remotecar/rc-detect,org.rcdukes.detect.linedetection,HoughLinesLineDetector,170,0,4,0,46,0,18,0,16,0
rc-remotecar/rc-detect,org.rcdukes.detect.linedetection,LineFilter,152,0,8,0,29,0,7,0,3,0
rc-remotecar/rc-detect,org.rcdukes.detect.edgedectection,SobelEdgeDetector,48,0,0,0,12,0,3,0,3,0
rc-remotecar/rc-detect,org.rcdukes.detect.edgedectection,CannyEdgeDetector,75,0,0,0,27,0,11,0,11,0
rc-remotecar/rc-detect,org.rcdukes.detect.edgedectection,WatershedEdgeDetector,146,0,0,0,35,0,3,0,3,0
rc-remotecar/rc-action,stormbots,MiniPID,639,0,64,0,122,0,55,0,23,0
rc-remotecar/rc-action,stormbots,Main,90,0,4,0,19,0,4,0,2,0
rc-remotecar/rc-action,org.rcdukes.action,StartLightObserver,5,0,0,0,2,0,2,0,2,0
rc-remotecar/rc-action,org.rcdukes.action,StraightLaneNavigator.AngleRange,215,0,8,0,37,0,7,0,3,0
rc-remotecar/rc-action,org.rcdukes.action,StoppingZoneDetector,86,0,12,0,19,0,9,0,3,0
rc-remotecar/rc-action,org.rcdukes.action,StraightLaneNavigator,486,0,30,0,98,0,32,0,17,0
rc-remotecar/rc-action,org.rcdukes.action,ActionVerticle,132,0,6,0,32,0,12,0,9,0
rc-remotecar/rc-app,org.rcdukes.app,StartLightDetectionGUI.new TimerTask() {...},50,0,2,0,6,0,3,0,2,0
rc-remotecar/rc-app,org.rcdukes.app,SimulatorImageFetcher,69,0,2,0,21,0,5,0,4,0
rc-remotecar/rc-app,org.rcdukes.app,ImageDebugger,308,0,31,0,61,0,24,0,7,0
rc-remotecar/rc-app,org.rcdukes.app,AppVerticle,304,0,18,0,84,0,29,0,20,0
rc-remotecar/rc-app,org.rcdukes.app,LaneDetectionGUI,187,0,4,0,48,0,8,0,6,0
rc-remotecar/rc-app,org.rcdukes.app,GUIDisplayer.PictureStep,44,0,0,0,1,0,1,0,1,0
rc-remotecar/rc-app,org.rcdukes.app,NavigationGUI,495,0,42,0,134,0,54,0,30,0
rc-remotecar/rc-app,org.rcdukes.app,LabeledValueSlider,134,0,4,0,40,0,17,0,15,0
rc-remotecar/rc-app,org.rcdukes.app,DukesFxGUI.DisplayMode,24,0,0,0,2,0,1,0,1,0
rc-remotecar/rc-app,org.rcdukes.app,DukesFxApp,118,0,2,0,34,0,7,0,6,0
rc-remotecar/rc-app,org.rcdukes.app,StartLightDetectionGUI,279,0,20,0,66,0,18,0,8,0
rc-remotecar/rc-app,org.rcdukes.app,LaneDetectionGUI.FrameGrabber,105,0,4,0,29,0,5,0,3,0
rc-remotecar/rc-app,org.rcdukes.app,BaseGUI,286,0,18,0,78,0,37,0,28,0
rc-remotecar/rc-app,org.rcdukes.app,CameraGUI,82,0,0,0,17,0,4,0,4,0
rc-remotecar/rc-app,org.rcdukes.app,DukesFxGUI,1000,0,62,0,246,0,90,0,58,0
